policy_id,customer_id,agent_id,policy_type,issue_date,premium_amount,sum_insured,policy_status,channel,state,free_look_period_days,free_look_cancelled,backdated_flag,premium_actually_collected,fraud_flag,fraud_type
POL000099,CUST000079,AGT00268,Life,14-07-2024,123475,6914600,Matured,Agent,Jharkhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000100,CUST001299,AGT00140,Life,24-02-2022,18011,342209,Active,Broker,Bihar,15,FALSE,FALSE,TRUE,FALSE,None
POL000101,CUST001302,AGT00129,Health,21-05-2026,18635,484510,Active,Agent,Tamil Nadu,15,FALSE,FALSE,TRUE,FALSE,None
POL000102,CUST000674,AGT00098,Property,09-01-2024,30295,636195,Lapsed,Bancassurance,Tamil Nadu,15,FALSE,FALSE,TRUE,FALSE,None
POL000103,CUST002360,AGT00216,Auto,15-11-2024,3027,166485,Active,Agent,West Bengal,15,FALSE,FALSE,TRUE,FALSE,None
POL000104,CUST000204,AGT00369,Health,04-01-2026,37699,603184,Lapsed,Agent,Bihar,15,FALSE,FALSE,TRUE,TRUE,Fronting / Straw Policyholder
POL000105,CUST000985,AGT00077,Health,04-02-2024,24083,939237,Cancelled,Online,Manipur,15,FALSE,FALSE,TRUE,FALSE,None
POL000106,CUST001976,AGT00034,Auto,05-05-2025,9423,226152,Active,Agent,Maharashtra,15,FALSE,FALSE,TRUE,FALSE,None
POL000107,CUST000017,AGT00044,Travel,04-10-2023,2830,147160,Matured,Online,Meghalaya,15,FALSE,FALSE,TRUE,FALSE,None
POL000108,CUST000476,AGT00300,Life,20-06-2025,94390,5474620,Matured,Broker,Himachal Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000109,CUST001017,AGT00135,Health,25-12-2023,6187,123740,Matured,Agent,Assam,15,FALSE,FALSE,TRUE,FALSE,None
POL000110,CUST000210,AGT00087,Health,28-04-2025,8133,333453,Active,Broker,West Bengal,15,FALSE,FALSE,FALSE,TRUE,Fake Policy - No Premium Collected
POL000111,CUST000499,AGT00136,Auto,12-03-2024,12260,600740,Active,Agent,Chhattisgarh,15,FALSE,FALSE,TRUE,FALSE,None
POL000112,CUST000429,AGT00244,Health,08-01-2024,39457,946968,Active,Agent,Himachal Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000113,CUST003150,AGT00204,Life,28-01-2024,131355,3021165,Active,Agent,Telangana,15,FALSE,FALSE,TRUE,FALSE,None
POL000114,CUST003152,AGT00283,Travel,11-05-2026,9872,335648,Active,Bancassurance,Sikkim,15,FALSE,FALSE,TRUE,FALSE,None
POL000115,CUST001330,AGT00130,Property,21-07-2023,22062,1125162,Active,Agent,Bihar,15,FALSE,FALSE,TRUE,FALSE,None
POL000116,CUST002106,AGT00172,Auto,23-07-2025,19677,964173,Cancelled,Broker,Kerala,15,TRUE,FALSE,TRUE,FALSE,None
POL000117,CUST001554,AGT00038,Health,03-12-2025,38744,1975944,Active,Online,Uttar Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000118,CUST001232,AGT00026,Auto,06-12-2022,21031,1135674,Active,Agent,Assam,15,FALSE,FALSE,TRUE,FALSE,None
POL000119,CUST001535,AGT00176,Auto,02-06-2022,24282,534204,Active,Agent,Telangana,15,FALSE,FALSE,TRUE,FALSE,None
POL000120,CUST001868,AGT00116,Health,08-05-2026,17801,801045,Lapsed,Broker,Uttar Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000121,CUST003042,AGT00230,Health,22-11-2025,15548,886236,Active,Online,Haryana,15,FALSE,FALSE,TRUE,FALSE,None
POL000122,CUST002570,AGT00011,Auto,07-01-2026,14683,440490,Active,Agent,Telangana,15,FALSE,FALSE,TRUE,FALSE,None
POL000123,CUST002629,AGT00045,Life,05-07-2026,52785,2216970,Matured,Broker,Assam,15,FALSE,FALSE,TRUE,FALSE,None
POL000124,CUST001877,AGT00331,Life,30-09-2024,31358,627160,Active,Agent,Karnataka,15,FALSE,FALSE,TRUE,FALSE,None
POL000125,CUST000899,AGT00211,Auto,03-03-2023,11280,518880,Active,Bancassurance,Goa,15,FALSE,TRUE,TRUE,TRUE,Backdated Policy Issuance
POL000126,CUST001107,AGT00268,Property,29-09-2024,15290,642180,Lapsed,Broker,Mizoram,15,FALSE,FALSE,TRUE,FALSE,None
POL000127,CUST002669,AGT00322,Auto,19-02-2026,13148,328700,Lapsed,Online,Karnataka,15,FALSE,FALSE,TRUE,FALSE,None
POL000128,CUST001068,AGT00176,Health,23-07-2022,11621,650776,Active,Broker,Himachal Pradesh,15,FALSE,TRUE,TRUE,TRUE,Backdated Policy Issuance
POL000129,CUST001507,AGT00291,Property,09-02-2025,14366,531542,Matured,Online,Manipur,15,FALSE,FALSE,TRUE,FALSE,None
POL000130,CUST003014,AGT00197,Health,21-11-2022,54738,2408472,Matured,Online,Rajasthan,15,FALSE,FALSE,TRUE,FALSE,None
POL000131,CUST002958,AGT00087,Travel,05-07-2025,3022,69506,Active,Online,Telangana,15,FALSE,FALSE,TRUE,TRUE,Fronting / Straw Policyholder
POL000132,CUST001668,AGT00129,Auto,07-08-2024,21637,908754,Active,Agent,Mizoram,15,FALSE,FALSE,TRUE,FALSE,None
POL000133,CUST000493,AGT00187,Health,01-04-2026,12354,469452,Cancelled,Online,Sikkim,15,TRUE,FALSE,TRUE,TRUE,Free-Look Period Abuse
POL000134,CUST002547,AGT00121,Health,08-08-2024,51529,2164218,Active,Agent,Tripura,15,FALSE,FALSE,TRUE,FALSE,None
POL000135,CUST003090,AGT00128,Life,05-10-2025,89204,3389752,Active,Agent,Assam,15,FALSE,FALSE,TRUE,FALSE,None
POL000136,CUST000605,AGT00129,Property,27-07-2024,29187,846423,Lapsed,Agent,Tamil Nadu,15,FALSE,FALSE,TRUE,FALSE,None
POL000137,CUST000948,AGT00046,Life,14-08-2024,134800,7144400,Active,Agent,Tamil Nadu,15,FALSE,FALSE,TRUE,FALSE,None
POL000138,CUST000294,AGT00029,Property,12-06-2024,24781,1164707,Lapsed,Agent,Karnataka,15,FALSE,FALSE,TRUE,FALSE,None
POL000139,CUST001172,AGT00013,Auto,11-03-2023,16349,784752,Active,Broker,Arunachal Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000140,CUST002019,AGT00042,Health,20-12-2025,17550,631800,Active,Agent,Maharashtra,15,FALSE,FALSE,TRUE,FALSE,None
POL000141,CUST000172,AGT00132,Life,27-07-2025,103881,4466883,Active,Online,Bihar,15,FALSE,FALSE,TRUE,FALSE,None
POL000142,CUST001587,AGT00223,Health,06-01-2023,36029,1729392,Active,Agent,Tamil Nadu,15,FALSE,FALSE,TRUE,FALSE,None
POL000143,CUST000531,AGT00073,Travel,21-07-2024,12049,674744,Active,Agent,Uttar Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000144,CUST001144,AGT00339,Auto,06-09-2022,7803,187272,Lapsed,Agent,Mizoram,15,FALSE,TRUE,TRUE,TRUE,Backdated Policy Issuance
POL000145,CUST001860,AGT00309,Health,09-06-2024,31340,1849060,Active,Agent,Karnataka,15,FALSE,TRUE,TRUE,TRUE,Backdated Policy Issuance
POL000146,CUST001761,AGT00195,Health,30-06-2022,9290,408760,Active,Online,Gujarat,15,FALSE,FALSE,TRUE,FALSE,None
POL000147,CUST002114,AGT00274,Property,04-12-2023,34743,868575,Lapsed,Online,Uttarakhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000148,CUST002189,AGT00139,Travel,25-09-2024,3074,147552,Active,Agent,Nagaland,15,FALSE,FALSE,TRUE,FALSE,None
POL000149,CUST002494,AGT00010,Auto,19-03-2022,24285,849975,Cancelled,Agent,Sikkim,15,TRUE,FALSE,TRUE,TRUE,Free-Look Period Abuse
POL000150,CUST000189,AGT00344,Auto,07-07-2024,16821,454167,Active,Broker,Uttarakhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000151,CUST000158,AGT00048,Health,03-06-2024,6522,254358,Lapsed,Agent,Rajasthan,15,FALSE,FALSE,TRUE,FALSE,None
POL000152,CUST002718,AGT00363,Health,02-12-2022,38329,1341515,Active,Agent,Arunachal Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000153,CUST001971,AGT00214,Travel,19-02-2022,9489,142335,Active,Online,Rajasthan,15,FALSE,FALSE,TRUE,FALSE,None
POL000154,CUST000246,AGT00118,Health,26-03-2022,17328,329232,Active,Agent,Rajasthan,15,FALSE,FALSE,TRUE,TRUE,Fronting / Straw Policyholder
POL000155,CUST002904,AGT00187,Auto,26-11-2023,19857,714852,Matured,Bancassurance,Andhra Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000156,CUST002992,AGT00190,Health,04-01-2022,11677,245217,Active,Online,Haryana,15,FALSE,FALSE,TRUE,FALSE,None
POL000157,CUST002796,AGT00007,Health,19-09-2024,55357,1494639,Lapsed,Agent,Chhattisgarh,15,FALSE,FALSE,FALSE,TRUE,Fake Policy - No Premium Collected
POL000158,CUST003105,AGT00136,Property,13-11-2022,18772,1107548,Lapsed,Agent,Odisha,15,FALSE,FALSE,TRUE,FALSE,None
POL000159,CUST002378,AGT00281,Auto,08-02-2025,10966,405742,Active,Online,Madhya Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000160,CUST002560,AGT00192,Auto,19-09-2025,21642,757470,Lapsed,Agent,West Bengal,15,FALSE,FALSE,FALSE,TRUE,Fake Policy - No Premium Collected
POL000161,CUST000850,AGT00094,Travel,02-02-2024,14750,295000,Cancelled,Bancassurance,Haryana,15,TRUE,FALSE,TRUE,FALSE,None
POL000162,CUST001811,AGT00128,Auto,02-03-2025,19279,655486,Active,Online,Sikkim,15,FALSE,FALSE,TRUE,FALSE,None
POL000163,CUST001095,AGT00330,Life,04-09-2023,77776,2022176,Active,Agent,Gujarat,15,FALSE,FALSE,TRUE,FALSE,None
POL000164,CUST001337,AGT00197,Health,01-10-2024,18520,1000080,Cancelled,Online,Himachal Pradesh,15,TRUE,FALSE,TRUE,FALSE,None
POL000165,CUST002127,AGT00197,Health,02-07-2024,49711,1143353,Active,Agent,Meghalaya,15,FALSE,FALSE,TRUE,FALSE,None
POL000166,CUST000169,AGT00368,Auto,09-03-2024,17089,717738,Cancelled,Agent,Chhattisgarh,15,FALSE,TRUE,TRUE,TRUE,Backdated Policy Issuance
POL000167,CUST002858,AGT00123,Auto,29-04-2022,4982,124550,Cancelled,Online,Meghalaya,15,TRUE,FALSE,TRUE,TRUE,Free-Look Period Abuse
POL000168,CUST003031,AGT00183,Health,16-12-2022,25143,1156578,Active,Online,Uttarakhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000169,CUST002228,AGT00310,Auto,05-07-2024,16582,414550,Cancelled,Online,Goa,15,FALSE,FALSE,TRUE,FALSE,None
POL000170,CUST001652,AGT00290,Health,18-11-2023,47844,1818072,Active,Agent,Telangana,15,FALSE,FALSE,TRUE,FALSE,None
POL000171,CUST002308,AGT00105,Auto,26-06-2023,9497,275413,Active,Online,Meghalaya,15,FALSE,TRUE,TRUE,TRUE,Backdated Policy Issuance
POL000172,CUST001510,AGT00057,Life,14-12-2024,120491,6627005,Cancelled,Agent,Jharkhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000173,CUST001796,AGT00262,Travel,27-12-2022,11055,541695,Active,Online,Chhattisgarh,15,FALSE,FALSE,TRUE,FALSE,None
POL000174,CUST003077,AGT00101,Auto,09-12-2023,18378,569718,Lapsed,Online,Gujarat,15,FALSE,FALSE,TRUE,FALSE,None
POL000175,CUST002345,AGT00353,Auto,16-01-2026,13864,540696,Active,Online,Rajasthan,15,FALSE,FALSE,TRUE,TRUE,Fronting / Straw Policyholder
POL000176,CUST000620,AGT00049,Property,26-04-2026,9271,454279,Active,Broker,Assam,15,FALSE,FALSE,TRUE,FALSE,None
POL000177,CUST002903,AGT00122,Life,16-11-2023,53039,1750287,Active,Broker,Mizoram,15,FALSE,FALSE,TRUE,FALSE,None
POL000178,CUST002408,AGT00017,Auto,26-11-2022,7279,400345,Active,Bancassurance,West Bengal,15,FALSE,FALSE,TRUE,FALSE,None
POL000179,CUST002165,AGT00263,Health,07-08-2022,17342,780390,Matured,Bancassurance,Telangana,15,FALSE,FALSE,TRUE,FALSE,None
POL000180,CUST000357,AGT00340,Auto,27-07-2022,22186,687766,Matured,Broker,Telangana,15,FALSE,FALSE,TRUE,FALSE,None
POL000181,CUST003005,AGT00239,Auto,24-04-2024,10312,381544,Cancelled,Bancassurance,Gujarat,15,FALSE,FALSE,TRUE,FALSE,None
POL000182,CUST002487,AGT00358,Travel,26-03-2022,10156,152340,Active,Broker,Andhra Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000183,CUST001678,AGT00048,Property,16-11-2023,35748,857952,Matured,Online,Maharashtra,15,FALSE,FALSE,TRUE,FALSE,None
POL000184,CUST001212,AGT00031,Life,02-09-2022,23804,523688,Lapsed,Agent,Assam,15,FALSE,FALSE,TRUE,FALSE,None
POL000185,CUST001305,AGT00321,Auto,21-05-2024,19192,1074752,Active,Agent,Meghalaya,15,FALSE,FALSE,TRUE,FALSE,None
POL000186,CUST001535,AGT00328,Auto,19-10-2024,20450,818000,Lapsed,Broker,Nagaland,15,FALSE,TRUE,TRUE,TRUE,Backdated Policy Issuance
POL000187,CUST001490,AGT00317,Property,20-09-2025,32615,1565520,Active,Agent,Punjab,15,FALSE,FALSE,TRUE,FALSE,None
