claim_id,policy_id,customer_id,agent_id,claim_type,incident_date,claim_date,days_policy_to_incident,claim_amount,approved_amount,claim_status,num_claims_filed_by_customer,police_report_filed,witness_count,documents_altered_flag,fraud_flag,fraud_type
CLM000040,POL000083,CUST002802,AGT00186,Death Claim,21-01-2025,05-02-2025,156,1838036,701070,Partially Approved,4,TRUE,2,TRUE,TRUE,Fake Supporting Documents
CLM000041,POL000766,CUST002350,AGT00074,Vehicle Damage/Accident,24-06-2026,10-07-2026,232,140348,132908,Partially Approved,1,FALSE,2,FALSE,FALSE,None
CLM000042,POL000708,CUST000629,AGT00088,Trip Cancellation/Medical,19-06-2023,02-07-2023,60,52967,6258,Rejected,2,TRUE,2,FALSE,TRUE,Staged Accident
CLM000043,POL000027,CUST000281,AGT00108,Death Claim,09-04-2026,25-04-2026,239,688311,482977,Approved,3,FALSE,1,FALSE,FALSE,None
CLM000044,POL000589,CUST002542,AGT00334,Fire/Theft/Damage,13-01-2025,15-01-2025,36,182852,132340,Approved,2,TRUE,3,FALSE,FALSE,None
CLM000045,POL000806,CUST000988,AGT00088,Trip Cancellation/Medical,15-05-2025,04-06-2025,74,167577,151237,Partially Approved,3,FALSE,2,FALSE,FALSE,None
CLM000046,POL000767,CUST003168,AGT00100,Vehicle Damage/Accident,30-01-2024,11-02-2024,245,784417,604644,Approved,4,FALSE,0,FALSE,FALSE,None
CLM000047,POL000021,CUST000835,AGT00264,Hospitalization,26-07-2023,24-08-2023,194,1681157,1636625,Approved,1,FALSE,2,FALSE,FALSE,None
CLM000048,POL000218,CUST002472,AGT00338,Fire/Theft/Damage,29-08-2023,12-09-2023,56,817878,736273,Approved,1,FALSE,2,FALSE,FALSE,None
CLM000049,POL000045,CUST000122,AGT00151,Vehicle Damage/Accident,23-09-2025,01-10-2025,23,152487,18333,Under Investigation,3,TRUE,3,FALSE,TRUE,Early Claim Fraud
CLM000050,POL000954,CUST002458,AGT00234,Hospitalization,29-04-2022,05-05-2022,7,92418,76206,Approved,1,FALSE,2,FALSE,FALSE,None
CLM000051,POL000407,CUST001866,AGT00176,Hospitalization,27-12-2023,10-01-2024,327,385672,349906,Approved,4,FALSE,1,FALSE,FALSE,None
CLM000052,POL000694,CUST001664,AGT00320,Vehicle Damage/Accident,01-10-2024,25-10-2024,14,102241,75892,Approved,2,TRUE,3,FALSE,FALSE,None
CLM000053,POL000798,CUST002946,AGT00037,Death Claim,17-06-2025,02-07-2025,21,934391,901709,Approved,1,TRUE,3,FALSE,FALSE,None
CLM000054,POL000479,CUST002255,AGT00151,Hospitalization,21-02-2026,13-03-2026,48,1368660,960021,Approved,7,FALSE,2,FALSE,FALSE,None
CLM000055,POL000863,CUST000528,AGT00130,Hospitalization,29-08-2022,25-09-2022,106,822993,817795,Approved,3,TRUE,1,FALSE,FALSE,None
CLM000056,POL000656,CUST000704,AGT00221,Hospitalization,06-11-2026,09-11-2026,280,173239,129980,Approved,5,FALSE,3,FALSE,FALSE,None
CLM000057,POL000564,CUST002756,AGT00006,Death Claim,19-03-2024,26-03-2024,51,365904,337595,Approved,2,TRUE,0,FALSE,FALSE,None
CLM000058,POL000763,CUST002290,AGT00312,Trip Cancellation/Medical,20-01-2023,05-02-2023,141,59825,42594,Approved,1,TRUE,2,FALSE,FALSE,None
CLM000059,POL000618,CUST000620,AGT00302,Hospitalization,25-09-2023,18-10-2023,17,438725,29611,Under Investigation,2,FALSE,3,FALSE,TRUE,Staged Accident
CLM000060,POL000809,CUST002647,AGT00023,Death Claim,16-07-2023,18-07-2023,112,294250,261615,Approved,5,FALSE,2,FALSE,FALSE,None
CLM000061,POL000711,CUST002094,AGT00088,Hospitalization,25-10-2023,11-11-2023,35,307355,221623,Partially Approved,1,TRUE,0,FALSE,FALSE,None
CLM000062,POL000337,CUST001111,AGT00311,Hospitalization,14-04-2024,25-04-2024,42,585842,9705,Partially Approved,4,FALSE,2,FALSE,TRUE,Multiple/Duplicate Claims
CLM000063,POL000792,CUST001961,AGT00001,Vehicle Damage/Accident,01-08-2023,25-08-2023,82,500145,395585,Approved,1,FALSE,2,FALSE,FALSE,None
CLM000064,POL000148,CUST002189,AGT00139,Trip Cancellation/Medical,09-06-2025,12-06-2025,257,68304,58022,Approved,3,FALSE,1,FALSE,FALSE,None
CLM000065,POL000615,CUST001658,AGT00077,Vehicle Damage/Accident,01-04-2026,23-04-2026,245,271367,231034,Approved,1,FALSE,1,FALSE,FALSE,None
CLM000066,POL000411,CUST002967,AGT00332,Fire/Theft/Damage,04-05-2026,27-05-2026,96,318650,298119,Approved,1,FALSE,0,FALSE,FALSE,None
CLM000067,POL000514,CUST003145,AGT00340,Vehicle Damage/Accident,12-09-2024,20-09-2024,22,391893,288845,Approved,2,TRUE,1,FALSE,FALSE,None
CLM000068,POL000768,CUST001318,AGT00016,Hospitalization,23-09-2022,15-10-2022,59,316036,229067,Approved,2,TRUE,3,FALSE,FALSE,None
CLM000069,POL000572,CUST002912,AGT00374,Vehicle Damage/Accident,05-03-2023,28-03-2023,126,186119,152723,Approved,3,TRUE,1,FALSE,FALSE,None
CLM000070,POL000819,CUST000361,AGT00051,Vehicle Damage/Accident,31-03-2025,21-04-2025,366,274404,265144,Approved,1,TRUE,3,FALSE,FALSE,None
CLM000071,POL000385,CUST002011,AGT00369,Vehicle Damage/Accident,12-10-2023,31-10-2023,621,66246,263,Partially Approved,2,FALSE,0,FALSE,TRUE,Staged Accident
CLM000072,POL000482,CUST000387,AGT00277,Trip Cancellation/Medical,07-06-2024,25-06-2024,182,194207,168571,Approved,6,FALSE,0,FALSE,FALSE,None
CLM000073,POL000603,CUST002294,AGT00144,Vehicle Damage/Accident,29-08-2023,05-09-2023,77,226341,6052,Partially Approved,2,FALSE,2,FALSE,TRUE,Staged Accident
CLM000074,POL000101,CUST001302,AGT00129,Hospitalization,19-12-2026,04-01-2027,212,144452,136016,Approved,3,FALSE,3,FALSE,FALSE,None
CLM000075,POL000114,CUST003152,AGT00283,Trip Cancellation/Medical,23-07-2026,16-08-2026,73,78331,61363,Approved,2,FALSE,2,FALSE,FALSE,None
CLM000076,POL000262,CUST000530,AGT00289,Fire/Theft/Damage,08-01-2026,22-01-2026,176,359417,269933,Approved,4,FALSE,2,FALSE,FALSE,None
CLM000077,POL000422,CUST001814,AGT00008,Hospitalization,24-03-2024,01-04-2024,50,1855624,1466586,Approved,1,FALSE,2,FALSE,FALSE,None
CLM000078,POL000054,CUST001141,AGT00216,Vehicle Damage/Accident,24-04-2025,07-05-2025,55,441335,31003,Partially Approved,2,TRUE,3,TRUE,TRUE,Fake Supporting Documents
CLM000079,POL000188,CUST003187,AGT00306,Vehicle Damage/Accident,03-06-2025,06-06-2025,14,197067,67371,Under Investigation,1,TRUE,1,FALSE,TRUE,Exaggerated Claim Amount
CLM000080,POL000539,CUST000030,AGT00341,Death Claim,10-11-2023,12-11-2023,98,423143,370448,Partially Approved,2,TRUE,3,FALSE,FALSE,None
CLM000081,POL000752,CUST002416,AGT00149,Trip Cancellation/Medical,11-07-2022,24-07-2022,173,170564,13515,Partially Approved,2,FALSE,1,FALSE,TRUE,Exaggerated Claim Amount
CLM000082,POL000592,CUST001533,AGT00104,Vehicle Damage/Accident,21-11-2025,16-12-2025,279,82851,23732,Rejected,1,FALSE,3,TRUE,TRUE,Fake Supporting Documents
CLM000083,POL000190,CUST001362,AGT00085,Vehicle Damage/Accident,10-09-2024,02-10-2024,299,30872,28944,Approved,8,TRUE,0,FALSE,FALSE,None
CLM000084,POL000831,CUST000031,AGT00124,Vehicle Damage/Accident,15-11-2026,11-12-2026,879,12642,10493,Partially Approved,3,TRUE,0,FALSE,FALSE,None
CLM000085,POL000867,CUST001715,AGT00234,Death Claim,06-12-2023,09-12-2023,16,742743,116330,Rejected,6,TRUE,1,FALSE,TRUE,Early Claim Fraud
CLM000086,POL000603,CUST002294,AGT00144,Vehicle Damage/Accident,13-10-2023,03-11-2023,122,62239,21531,Rejected,2,TRUE,2,FALSE,TRUE,Multiple/Duplicate Claims
CLM000087,POL000547,CUST001196,AGT00333,Fire/Theft/Damage,14-07-2025,15-07-2025,132,494915,388350,Approved,1,TRUE,2,FALSE,FALSE,None
CLM000088,POL000058,CUST000399,AGT00025,Fire/Theft/Damage,10-12-2025,12-12-2025,293,449567,367854,Approved,2,TRUE,2,FALSE,FALSE,None
CLM000089,POL000503,CUST001133,AGT00328,Vehicle Damage/Accident,03-09-2025,28-09-2025,55,38574,1413,Under Investigation,1,TRUE,2,FALSE,TRUE,Exaggerated Claim Amount
CLM000090,POL000189,CUST001964,AGT00138,Hospitalization,31-08-2023,10-09-2023,12,1277008,1231193,Approved,1,FALSE,3,FALSE,FALSE,None
CLM000091,POL000765,CUST002867,AGT00345,Fire/Theft/Damage,06-10-2023,17-10-2023,67,632341,466689,Approved,1,FALSE,0,FALSE,FALSE,None
CLM000092,POL000548,CUST001523,AGT00142,Trip Cancellation/Medical,31-10-2025,26-11-2025,743,6693,6160,Approved,2,FALSE,3,FALSE,FALSE,None
CLM000093,POL000870,CUST002828,AGT00372,Hospitalization,11-10-2026,14-10-2026,413,189068,184432,Approved,3,FALSE,3,FALSE,FALSE,None
CLM000094,POL000604,CUST001882,AGT00260,Death Claim,14-02-2024,09-03-2024,90,388027,320850,Approved,2,FALSE,3,FALSE,FALSE,None
CLM000095,POL000568,CUST002831,AGT00266,Vehicle Damage/Accident,05-01-2025,31-01-2025,376,29800,23423,Approved,1,FALSE,1,FALSE,FALSE,None
CLM000096,POL000579,CUST003123,AGT00029,Hospitalization,07-04-2026,15-04-2026,5,40014,36145,Partially Approved,2,FALSE,0,FALSE,FALSE,None
CLM000097,POL000313,CUST002907,AGT00318,Hospitalization,16-12-2024,31-12-2024,67,105918,81961,Approved,1,FALSE,1,FALSE,FALSE,None
CLM000098,POL000169,CUST002228,AGT00310,Vehicle Damage/Accident,23-02-2025,28-02-2025,233,146784,119671,Approved,2,TRUE,2,FALSE,FALSE,None
CLM000099,POL000799,CUST001267,AGT00129,Hospitalization,02-02-2025,10-02-2025,45,226526,219520,Approved,4,FALSE,0,FALSE,FALSE,None
CLM000100,POL000131,CUST002958,AGT00087,Trip Cancellation/Medical,13-08-2025,31-08-2025,39,4797,4207,Approved,1,TRUE,1,FALSE,FALSE,None
CLM000101,POL000678,CUST002845,AGT00043,Vehicle Damage/Accident,14-04-2023,02-05-2023,356,430421,24783,Under Investigation,3,FALSE,1,FALSE,TRUE,Exaggerated Claim Amount
CLM000102,POL000949,CUST000150,AGT00064,Death Claim,21-04-2026,03-05-2026,172,756272,604192,Partially Approved,3,TRUE,3,FALSE,FALSE,None
CLM000103,POL000564,CUST002756,AGT00006,Death Claim,19-04-2026,23-04-2026,812,466147,414022,Partially Approved,2,FALSE,1,FALSE,FALSE,None
CLM000104,POL000152,CUST002718,AGT00363,Hospitalization,28-12-2022,05-01-2023,26,271654,229398,Approved,2,FALSE,1,FALSE,FALSE,None
CLM000105,POL000922,CUST000046,AGT00044,Vehicle Damage/Accident,20-07-2025,22-07-2025,79,62513,56143,Approved,3,FALSE,2,FALSE,FALSE,None
CLM000106,POL000105,CUST000985,AGT00077,Hospitalization,11-04-2024,01-05-2024,67,641627,595707,Approved,2,FALSE,2,FALSE,FALSE,None
CLM000107,POL000367,CUST001081,AGT00252,Death Claim,15-04-2023,09-05-2023,381,196649,166008,Approved,3,FALSE,1,FALSE,FALSE,None
CLM000108,POL000092,CUST000704,AGT00308,Hospitalization,31-03-2023,03-04-2023,53,83823,83494,Partially Approved,5,FALSE,1,FALSE,FALSE,None
CLM000109,POL000713,CUST001702,AGT00308,Vehicle Damage/Accident,21-12-2022,29-12-2022,78,556953,542696,Approved,1,FALSE,1,FALSE,FALSE,None
CLM000110,POL000805,CUST001585,AGT00136,Trip Cancellation/Medical,13-06-2023,25-06-2023,27,18844,3927,Partially Approved,2,FALSE,3,FALSE,TRUE,Exaggerated Claim Amount
CLM000111,POL000885,CUST000444,AGT00005,Vehicle Damage/Accident,13-03-2027,15-03-2027,268,333552,260146,Partially Approved,3,TRUE,3,FALSE,FALSE,None
CLM000112,POL000731,CUST002568,AGT00125,Hospitalization,04-12-2023,21-12-2023,48,257103,97689,Under Investigation,4,FALSE,3,FALSE,TRUE,Staged Accident
CLM000113,POL000432,CUST001301,AGT00211,Vehicle Damage/Accident,19-08-2023,02-09-2023,12,260075,5600,Under Investigation,2,FALSE,2,FALSE,TRUE,Multiple/Duplicate Claims
CLM000114,POL000579,CUST003123,AGT00029,Hospitalization,13-07-2026,27-07-2026,102,39733,12085,Partially Approved,2,FALSE,0,TRUE,TRUE,Fake Supporting Documents
CLM000115,POL000681,CUST002651,AGT00111,Vehicle Damage/Accident,28-06-2024,04-07-2024,89,510911,422751,Partially Approved,4,FALSE,3,FALSE,FALSE,None
CLM000116,POL000305,CUST002847,AGT00049,Hospitalization,28-07-2025,05-08-2025,35,730577,522702,Approved,2,FALSE,3,FALSE,FALSE,None
CLM000117,POL000028,CUST002723,AGT00196,Trip Cancellation/Medical,07-10-2024,01-11-2024,25,80164,2863,Partially Approved,2,TRUE,1,FALSE,TRUE,Early Claim Fraud
CLM000118,POL000288,CUST000891,AGT00209,Vehicle Damage/Accident,11-05-2025,21-05-2025,408,395774,288469,Partially Approved,1,TRUE,3,FALSE,FALSE,None
CLM000119,POL000355,CUST000151,AGT00086,Hospitalization,23-04-2023,17-05-2023,12,793270,566311,Approved,1,FALSE,0,FALSE,FALSE,None
CLM000120,POL000967,CUST000710,AGT00044,Hospitalization,01-07-2025,19-07-2025,18,432568,365281,Approved,1,TRUE,2,FALSE,FALSE,None
CLM000121,POL000839,CUST000059,AGT00281,Vehicle Damage/Accident,21-06-2026,22-06-2026,50,593213,474653,Approved,3,TRUE,3,FALSE,FALSE,None
CLM000122,POL000981,CUST002884,AGT00073,Hospitalization,16-03-2025,23-03-2025,549,85040,83393,Approved,2,FALSE,2,FALSE,FALSE,None
CLM000123,POL000544,CUST002353,AGT00168,Death Claim,24-06-2023,01-07-2023,16,1249788,913380,Approved,1,FALSE,3,FALSE,FALSE,None
CLM000124,POL000678,CUST002845,AGT00043,Vehicle Damage/Accident,21-02-2023,06-03-2023,304,161298,49184,Partially Approved,3,TRUE,2,FALSE,TRUE,Multiple/Duplicate Claims
CLM000125,POL000404,CUST001797,AGT00335,Hospitalization,17-08-2024,02-09-2024,400,1180638,857100,Approved,10,TRUE,2,FALSE,FALSE,None
CLM000126,POL000136,CUST000605,AGT00129,Fire/Theft/Damage,20-10-2024,01-11-2024,85,141467,125306,Partially Approved,1,TRUE,3,FALSE,FALSE,None
CLM000127,POL000068,CUST001551,AGT00306,Hospitalization,22-12-2024,20-01-2025,62,258417,200097,Approved,2,TRUE,3,FALSE,FALSE,None
CLM000128,POL000154,CUST000246,AGT00118,Hospitalization,15-10-2022,03-11-2022,203,207777,196981,Approved,3,FALSE,2,FALSE,FALSE,None
CLM000129,POL000463,CUST001166,AGT00168,Trip Cancellation/Medical,07-09-2024,13-09-2024,218,52294,37570,Approved,4,FALSE,0,FALSE,FALSE,None
CLM000130,POL000326,CUST001337,AGT00010,Hospitalization,21-09-2024,28-09-2024,272,1044504,1029622,Approved,1,TRUE,0,FALSE,FALSE,None
CLM000131,POL000816,CUST001130,AGT00358,Vehicle Damage/Accident,12-11-2024,07-12-2024,319,261036,186425,Approved,6,FALSE,0,FALSE,FALSE,None
CLM000132,POL000096,CUST003185,AGT00266,Hospitalization,28-11-2022,15-12-2022,56,851296,657484,Approved,1,FALSE,0,FALSE,FALSE,None
CLM000133,POL000197,CUST001538,AGT00024,Death Claim,17-05-2023,15-06-2023,209,74384,62427,Approved,2,FALSE,3,FALSE,FALSE,None
CLM000134,POL000108,CUST000476,AGT00300,Death Claim,16-07-2025,04-08-2025,26,1504259,1394173,Approved,1,FALSE,1,FALSE,FALSE,None
CLM000135,POL000046,CUST002697,AGT00317,Fire/Theft/Damage,28-05-2022,02-06-2022,128,130140,128231,Approved,2,TRUE,2,FALSE,FALSE,None
CLM000136,POL000186,CUST001535,AGT00328,Vehicle Damage/Accident,07-04-2025,10-04-2025,170,224458,185943,Approved,4,TRUE,0,FALSE,FALSE,None
CLM000137,POL000454,CUST003042,AGT00053,Trip Cancellation/Medical,11-04-2025,05-05-2025,31,76576,26117,Under Investigation,3,TRUE,0,FALSE,TRUE,Multiple/Duplicate Claims
CLM000138,POL000323,CUST003155,AGT00020,Hospitalization,09-09-2024,05-10-2024,14,834214,765932,Approved,1,FALSE,1,FALSE,FALSE,None
CLM000139,POL000285,CUST003194,AGT00077,Vehicle Damage/Accident,21-03-2022,12-04-2022,38,98878,27858,Rejected,3,FALSE,1,FALSE,TRUE,Multiple/Duplicate Claims
CLM000140,POL000083,CUST002802,AGT00186,Death Claim,24-11-2024,12-12-2024,98,529652,480540,Approved,4,FALSE,3,FALSE,FALSE,None
CLM000141,POL000650,CUST002997,AGT00352,Hospitalization,22-06-2027,09-07-2027,393,234176,166597,Partially Approved,1,TRUE,2,FALSE,FALSE,None
CLM000142,POL000327,CUST001628,AGT00161,Fire/Theft/Damage,16-05-2025,11-06-2025,136,436506,363379,Partially Approved,6,TRUE,2,FALSE,FALSE,None
CLM000143,POL000749,CUST000144,AGT00320,Hospitalization,29-11-2023,20-12-2023,248,411240,384821,Approved,2,FALSE,1,FALSE,FALSE,None
CLM000144,POL000449,CUST001289,AGT00009,Vehicle Damage/Accident,04-02-2024,15-02-2024,34,332535,280083,Approved,2,FALSE,1,FALSE,FALSE,None
CLM000145,POL000321,CUST001007,AGT00063,Vehicle Damage/Accident,06-04-2026,01-05-2026,20,445700,428786,Approved,2,TRUE,1,FALSE,FALSE,None
CLM000146,POL000145,CUST001860,AGT00309,Hospitalization,28-07-2024,23-08-2024,49,1362958,1294934,Approved,1,TRUE,3,FALSE,FALSE,None
CLM000147,POL000278,CUST000470,AGT00208,Vehicle Damage/Accident,13-06-2024,22-06-2024,67,23511,22547,Approved,1,TRUE,2,FALSE,FALSE,None
CLM000148,POL000612,CUST000086,AGT00301,Hospitalization,01-09-2022,18-09-2022,142,1539164,1137440,Approved,3,FALSE,1,FALSE,FALSE,None
CLM000149,POL000014,CUST000679,AGT00343,Vehicle Damage/Accident,17-07-2025,05-08-2025,383,54467,883,Partially Approved,1,FALSE,0,FALSE,TRUE,Multiple/Duplicate Claims
CLM000150,POL000262,CUST000530,AGT00289,Fire/Theft/Damage,23-10-2025,05-11-2025,99,298740,211770,Approved,4,TRUE,2,FALSE,FALSE,None
CLM000151,POL000414,CUST002082,AGT00102,Death Claim,01-07-2025,07-07-2025,131,993124,987999,Approved,3,FALSE,2,FALSE,FALSE,None
CLM000152,POL000494,CUST002188,AGT00094,Trip Cancellation/Medical,07-09-2025,28-09-2025,0,110251,84986,Approved,1,TRUE,0,FALSE,FALSE,None
CLM000153,POL000047,CUST000592,AGT00059,Fire/Theft/Damage,13-11-2023,17-11-2023,6,146815,118938,Approved,1,FALSE,0,FALSE,FALSE,None
CLM000154,POL000737,CUST002974,AGT00363,Vehicle Damage/Accident,23-04-2022,22-05-2022,15,175733,21869,Under Investigation,2,TRUE,2,FALSE,TRUE,Early Claim Fraud
CLM000155,POL000916,CUST002202,AGT00135,Vehicle Damage/Accident,30-01-2026,17-02-2026,216,34409,24497,Approved,3,TRUE,2,FALSE,FALSE,None
CLM000156,POL000656,CUST000704,AGT00221,Hospitalization,29-05-2026,10-06-2026,119,25614,19937,Partially Approved,5,TRUE,1,FALSE,FALSE,None
CLM000157,POL000196,CUST001807,AGT00311,Vehicle Damage/Accident,16-11-2022,14-12-2022,38,114463,31799,Rejected,3,FALSE,3,FALSE,TRUE,Multiple/Duplicate Claims
CLM000158,POL000290,CUST001956,AGT00105,Hospitalization,29-11-2026,27-12-2026,161,1530777,53101,Rejected,3,TRUE,3,FALSE,TRUE,Staged Accident
CLM000159,POL000769,CUST000701,AGT00369,Hospitalization,24-12-2024,28-12-2024,141,581706,46572,Partially Approved,1,FALSE,1,FALSE,TRUE,Staged Accident
CLM000160,POL000973,CUST002279,AGT00001,Fire/Theft/Damage,12-04-2022,17-04-2022,16,388194,118192,Under Investigation,1,TRUE,0,TRUE,TRUE,Fake Supporting Documents
CLM000161,POL000432,CUST001301,AGT00211,Vehicle Damage/Accident,07-02-2024,19-02-2024,184,78863,71928,Approved,2,TRUE,0,FALSE,FALSE,None
CLM000162,POL000520,CUST002616,AGT00141,Vehicle Damage/Accident,07-09-2023,25-09-2023,262,63342,52950,Approved,2,TRUE,0,FALSE,FALSE,None
CLM000163,POL000790,CUST001791,AGT00187,Hospitalization,10-12-2023,05-01-2024,60,169774,12945,Partially Approved,2,FALSE,0,FALSE,TRUE,Staged Accident
CLM000164,POL000324,CUST001831,AGT00338,Vehicle Damage/Accident,10-10-2024,27-10-2024,209,105115,102222,Partially Approved,1,TRUE,1,FALSE,FALSE,None
CLM000165,POL000802,CUST001684,AGT00177,Fire/Theft/Damage,13-08-2023,05-09-2023,40,80393,79465,Approved,1,TRUE,2,FALSE,FALSE,None
