payment_id,policy_id,customer_id,agent_id,payment_date,payment_amount,payment_mode,payment_status,receipt_number,is_duplicate_receipt,premium_remitted_to_insurer,remittance_delay_days,fraud_flag,fraud_type
PAY000026,POL000382,CUST002220,AGT00062,2026-02-10,59619,Card,Success,RCPT837200,False,True,2,False,None
PAY000027,POL000863,CUST000528,AGT00130,2022-06-03,34860,NEFT,Reversed,RCPT845231,False,True,0,True,Duplicate/Unauthorized Refund Claimed
PAY000028,POL000940,CUST002559,AGT00188,2023-08-22,27022,NEFT,Success,RCPT479843,False,True,1,False,None
PAY000029,POL000504,CUST002197,AGT00223,2024-10-22,14697,Cheque,Success,RCPT954058,False,True,0,False,None
PAY000030,POL000447,CUST001231,AGT00181,2023-06-02,14413,Card,Success,RCPT944236,False,True,0,False,None
PAY000031,POL000680,CUST001802,AGT00257,2024-06-17,14400,UPI,Success,RCPT541445,False,True,0,False,None
PAY000032,POL000344,CUST001684,AGT00367,2023-03-07,8268,Card,Success,RCPT394512,False,True,2,False,None
PAY000033,POL000425,CUST000498,AGT00357,2022-01-29,8277,Cash,Success,RCPT110944,False,True,1,False,None
PAY000034,POL000625,CUST001764,AGT00041,2023-12-17,19854,NEFT,Success,RCPT395060,False,True,0,False,None
PAY000035,POL000840,CUST002819,AGT00170,2023-04-10,21082,UPI,Success,RCPT382961,False,True,1,False,None
PAY000036,POL000306,CUST001691,AGT00188,2026-01-24,6258,Card,Success,RCPT363277,False,True,1,False,None
PAY000037,POL000148,CUST002189,AGT00139,2024-10-10,2841,UPI,Success,RCPT608257,False,True,0,False,None
PAY000038,POL000849,CUST000317,AGT00010,2026-07-27,37237,Cash,Success,RCPT731891,False,True,2,False,None
PAY000039,POL000732,CUST001905,AGT00195,2024-12-11,14459,Card,Bounced,RCPT487626,False,True,0,True,Bounced Cheque Used for Coverage
PAY000040,POL000454,CUST003042,AGT00053,2025-03-14,2843,NEFT,Success,RCPT478945,False,True,0,False,None
PAY000041,POL000938,CUST000766,AGT00125,2022-01-22,37764,UPI,Reversed,RCPT259742,False,True,1,True,Duplicate/Unauthorized Refund Claimed
PAY000042,POL000033,CUST000483,AGT00179,2026-07-08,8537,Cheque,Success,RCPT286234,False,True,2,False,None
PAY000043,POL000732,CUST001905,AGT00195,2024-11-24,14625,Card,Success,RCPT414981,False,True,1,False,None
PAY000044,POL000501,CUST002448,AGT00172,2023-12-16,5787,UPI,Success,RCPT267046,False,True,2,False,None
PAY000045,POL000319,CUST001760,AGT00378,2025-01-19,9391,Cheque,Success,RCPT232181,False,True,0,False,None
PAY000046,POL000697,CUST001598,AGT00313,2023-03-07,13967,Cash,Success,RCPT653043,False,True,2,False,None
PAY000047,POL000193,CUST001788,AGT00151,2024-10-23,18207,Card,Success,RCPT208473,False,True,1,False,None
PAY000048,POL000873,CUST001333,AGT00162,2026-07-16,3206,UPI,Success,RCPT386946,False,True,0,False,None
PAY000049,POL000180,CUST000357,AGT00340,2022-07-27,21081,Cash,Success,RCPT689059,True,True,2,True,Fake Payment Receipt Submitted
PAY000050,POL000867,CUST001715,AGT00234,2023-11-25,45467,Cash,Success,RCPT406043,False,True,2,False,None
PAY000051,POL000984,CUST000401,AGT00045,2026-06-23,107494,Cheque,Success,RCPT273044,False,True,1,False,None
PAY000052,POL000518,CUST002638,AGT00102,2022-08-24,27430,Cheque,Bounced,RCPT489139,False,True,2,True,Bounced Cheque Used for Coverage
PAY000053,POL000391,CUST002722,AGT00087,2025-08-23,7115,Card,Reversed,RCPT824002,False,True,0,True,Duplicate/Unauthorized Refund Claimed
PAY000054,POL000521,CUST001355,AGT00068,2023-12-05,46575,Cheque,Success,RCPT267776,False,True,2,False,None
PAY000055,POL000357,CUST001239,AGT00371,2025-09-24,14242,Cheque,Success,RCPT864658,False,True,1,False,None
PAY000056,POL000573,CUST001226,AGT00205,2023-02-18,10745,UPI,Success,RCPT961626,False,True,2,False,None
PAY000057,POL000464,CUST000814,AGT00243,2023-07-27,139721,Cash,Success,RCPT733772,False,True,0,False,None
PAY000058,POL000930,CUST001810,AGT00188,2024-05-16,20545,Card,Success,RCPT305069,False,True,0,False,None
PAY000059,POL000675,CUST001466,AGT00135,2022-06-30,18753,NEFT,Success,RCPT415102,False,True,2,False,None
PAY000060,POL000099,CUST000079,AGT00268,2024-07-16,117489,UPI,Success,RCPT974901,False,True,2,False,None
PAY000061,POL000148,CUST002189,AGT00139,2024-09-21,2926,UPI,Success,RCPT142491,False,True,0,False,None
PAY000062,POL000570,CUST002732,AGT00008,2023-12-31,20232,Card,Success,RCPT632783,False,True,1,False,None
PAY000063,POL000727,CUST002952,AGT00353,2026-01-19,16187,Cash,Success,RCPT689469,True,True,0,True,Fake Payment Receipt Submitted
PAY000064,POL000316,CUST001508,AGT00295,2022-08-22,9379,UPI,Success,RCPT621500,False,True,2,False,None
PAY000065,POL000182,CUST002487,AGT00358,2022-04-10,9680,UPI,Success,RCPT853187,False,True,2,False,None
PAY000066,POL000547,CUST001196,AGT00333,2025-03-10,37933,Cash,Reversed,RCPT803472,False,True,1,True,Duplicate/Unauthorized Refund Claimed
PAY000067,POL000303,CUST000184,AGT00209,2025-12-03,9167,Card,Success,RCPT899529,False,True,0,False,None
PAY000068,POL000558,CUST001811,AGT00215,2022-06-30,16984,NEFT,Success,RCPT514748,False,True,0,False,None
PAY000069,POL000599,CUST001439,AGT00113,2024-11-30,41249,Cheque,Success,RCPT262182,False,True,1,False,None
PAY000070,POL000004,CUST003194,AGT00141,2024-11-02,19444,Card,Success,RCPT803903,False,True,0,False,None
PAY000071,POL000778,CUST002902,AGT00250,2023-01-30,7340,Card,Success,RCPT609944,False,True,1,False,None
PAY000072,POL000107,CUST000017,AGT00044,2023-10-15,2668,UPI,Success,RCPT664990,False,True,0,False,None
PAY000073,POL000075,CUST001651,AGT00260,2022-03-02,19419,UPI,Success,RCPT555564,False,True,1,False,None
PAY000074,POL000040,CUST002666,AGT00355,2023-02-27,6499,UPI,Success,RCPT780077,False,True,1,False,None
PAY000075,POL000639,CUST000430,AGT00074,2023-10-19,16900,Card,Success,RCPT942373,False,True,1,False,None
PAY000076,POL000695,CUST002531,AGT00336,2025-10-28,6078,Cash,Success,RCPT466223,False,True,2,False,None
PAY000077,POL000119,CUST001535,AGT00176,2022-05-31,22229,Cheque,Success,RCPT207304,True,True,2,True,Fake Payment Receipt Submitted
PAY000078,POL000073,CUST000864,AGT00042,2023-11-11,12131,UPI,Success,RCPT445011,False,True,2,False,None
PAY000079,POL000552,CUST000149,AGT00008,2022-03-15,5416,UPI,Success,RCPT750580,False,True,0,False,None
PAY000080,POL000204,CUST000660,AGT00171,2023-02-08,6986,NEFT,Success,RCPT667540,False,True,1,False,None
PAY000081,POL000977,CUST003028,AGT00240,2025-08-13,61323,Card,Success,RCPT936349,False,True,0,False,None
PAY000082,POL000096,CUST003185,AGT00266,2022-10-12,29798,UPI,Success,RCPT209419,False,True,0,False,None
PAY000083,POL000279,CUST002897,AGT00250,2022-02-04,17318,Card,Success,RCPT336548,False,False,138,True,Premium Diversion by Agent
PAY000084,POL000143,CUST000531,AGT00073,2024-08-07,11961,Cheque,Success,RCPT907831,False,True,2,False,None
PAY000085,POL000115,CUST001330,AGT00130,2023-07-19,20704,Card,Success,RCPT453194,False,True,0,False,None
PAY000086,POL000476,CUST003103,AGT00250,2026-02-23,15747,Card,Success,RCPT102496,False,True,0,False,None
PAY000087,POL000884,CUST000456,AGT00251,2024-05-05,19170,NEFT,Success,RCPT130985,False,True,0,False,None
PAY000088,POL000998,CUST001922,AGT00251,2026-01-18,3749,Card,Success,RCPT215950,False,True,2,False,None
PAY000089,POL000133,CUST000493,AGT00187,2026-04-08,11347,NEFT,Success,RCPT728985,False,True,1,False,None
PAY000090,POL000168,CUST003031,AGT00183,2022-12-29,23802,Card,Success,RCPT662466,False,True,1,False,None
PAY000091,POL000914,CUST002346,AGT00077,2022-08-07,37324,Cheque,Success,RCPT919742,False,False,111,True,Premium Diversion by Agent
PAY000092,POL000245,CUST001355,AGT00008,2023-05-28,55844,Cheque,Bounced,RCPT176407,False,True,1,True,Bounced Cheque Used for Coverage
PAY000093,POL000277,CUST000330,AGT00373,2023-01-08,10590,Cash,Success,RCPT176682,False,True,2,False,None
PAY000094,POL000975,CUST002377,AGT00202,2023-02-20,3540,Card,Reversed,RCPT221352,False,True,1,True,Duplicate/Unauthorized Refund Claimed
PAY000095,POL000259,CUST002978,AGT00109,2023-10-02,88714,Cash,Success,RCPT148577,False,True,0,False,None
PAY000096,POL000046,CUST002697,AGT00317,2022-01-17,15128,Card,Success,RCPT189643,False,True,0,False,None
PAY000097,POL000346,CUST001878,AGT00305,2024-02-14,59742,NEFT,Success,RCPT676221,False,True,1,False,None
PAY000098,POL000847,CUST002160,AGT00320,2022-11-09,25666,UPI,Success,RCPT603951,False,True,0,False,None
PAY000099,POL000895,CUST002692,AGT00340,2026-04-18,37944,UPI,Success,RCPT901911,False,True,2,False,None
PAY000100,POL000237,CUST000689,AGT00340,2026-06-03,15305,Cash,Reversed,RCPT438863,False,True,2,True,Duplicate/Unauthorized Refund Claimed
PAY000101,POL000053,CUST001574,AGT00300,2022-09-14,48965,Card,Success,RCPT446676,False,True,2,False,None
PAY000102,POL000148,CUST002189,AGT00139,2024-09-21,2801,Cheque,Success,RCPT521440,False,True,2,False,None
PAY000103,POL000699,CUST001673,AGT00128,2024-05-15,10129,UPI,Success,RCPT281423,False,True,0,False,None
PAY000104,POL000533,CUST000824,AGT00264,2023-01-08,3747,Cheque,Success,RCPT247245,False,True,0,False,None
PAY000105,POL000090,CUST000389,AGT00068,2025-06-07,5789,Card,Success,RCPT962840,False,True,1,False,None
PAY000106,POL000233,CUST002414,AGT00174,2023-12-08,1922,Card,Success,RCPT139800,False,True,0,False,None
PAY000107,POL000727,CUST002952,AGT00353,2026-01-16,16043,Card,Success,RCPT782784,False,True,1,False,None
PAY000108,POL000881,CUST000591,AGT00339,2024-03-30,4347,UPI,Success,RCPT778067,False,True,0,False,None
PAY000109,POL000051,CUST002349,AGT00152,2022-03-17,20043,Cheque,Success,RCPT563440,False,True,1,False,None
PAY000110,POL000665,CUST000382,AGT00284,2024-03-03,19314,Card,Success,RCPT112854,False,True,1,False,None
PAY000111,POL000836,CUST001058,AGT00237,2025-11-20,54506,UPI,Success,RCPT989522,False,True,2,False,None
PAY000112,POL000628,CUST001285,AGT00342,2022-10-29,14541,Card,Success,RCPT234753,False,True,1,False,None
PAY000113,POL000394,CUST000889,AGT00213,2025-11-28,6949,Card,Success,RCPT906311,False,True,1,False,None
PAY000114,POL000214,CUST001124,AGT00319,2026-04-27,46753,Cash,Success,RCPT892510,False,True,1,False,None
PAY000115,POL000451,CUST003108,AGT00059,2023-07-25,19578,UPI,Success,RCPT214166,False,True,1,False,None
PAY000116,POL000339,CUST000062,AGT00241,2025-06-09,16181,NEFT,Success,RCPT931893,False,True,1,False,None
PAY000117,POL000351,CUST002548,AGT00077,2022-03-21,5308,UPI,Success,RCPT604793,False,True,2,False,None
PAY000118,POL000649,CUST000310,AGT00182,2026-05-17,10546,UPI,Success,RCPT983324,False,True,1,False,None
PAY000119,POL000285,CUST003194,AGT00077,2022-02-24,6907,Card,Success,RCPT676602,True,True,1,True,Fake Payment Receipt Submitted
PAY000120,POL000933,CUST002106,AGT00302,2022-04-18,37036,Cheque,Success,RCPT127941,False,True,1,False,None
PAY000121,POL000878,CUST001841,AGT00111,2025-08-21,5448,Cash,Success,RCPT316100,False,True,0,False,None
PAY000122,POL000583,CUST000271,AGT00197,2024-04-22,18068,UPI,Success,RCPT354468,False,True,0,False,None
PAY000123,POL000245,CUST001355,AGT00008,2023-05-25,51074,Card,Success,RCPT256497,False,True,2,False,None
PAY000124,POL000550,CUST002439,AGT00162,2024-01-16,50035,UPI,Bounced,RCPT877877,False,True,1,True,Bounced Cheque Used for Coverage
PAY000125,POL000728,CUST002629,AGT00026,2022-07-28,27676,UPI,Success,RCPT749069,False,True,1,False,None
PAY000126,POL000639,CUST000430,AGT00074,2023-10-17,17375,NEFT,Success,RCPT592427,False,True,0,False,None
PAY000127,POL000584,CUST001601,AGT00302,2023-08-18,23033,Card,Success,RCPT763867,False,True,1,False,None
PAY000128,POL000226,CUST001926,AGT00144,2022-10-23,3111,Card,Success,RCPT815947,False,True,2,False,None
PAY000129,POL000827,CUST001640,AGT00083,2024-10-22,20815,Cheque,Success,RCPT484405,False,True,1,False,None
PAY000130,POL000441,CUST002825,AGT00227,2022-03-21,8266,Card,Success,RCPT900005,False,False,294,True,Premium Diversion by Agent
PAY000131,POL000474,CUST000518,AGT00311,2022-03-26,9193,UPI,Success,RCPT289923,False,True,0,False,None
PAY000132,POL000444,CUST001869,AGT00263,2024-10-24,37402,Cash,Success,RCPT259770,False,True,2,False,None
PAY000133,POL000796,CUST000032,AGT00066,2025-09-27,48722,NEFT,Success,RCPT423638,False,True,2,False,None
PAY000134,POL000412,CUST001960,AGT00238,2026-05-30,42075,NEFT,Success,RCPT118318,False,True,2,False,None
PAY000135,POL000814,CUST002064,AGT00292,2026-04-28,12487,Card,Success,RCPT794079,False,True,2,False,None
PAY000136,POL000246,CUST001567,AGT00338,2022-10-09,47146,Cheque,Reversed,RCPT458672,False,True,2,True,Duplicate/Unauthorized Refund Claimed
PAY000137,POL000583,CUST000271,AGT00197,2024-04-25,16843,Cheque,Success,RCPT861090,False,True,2,False,None
PAY000138,POL000707,CUST003115,AGT00122,2023-09-15,50903,Cheque,Success,RCPT175529,False,True,2,False,None
PAY000139,POL000500,CUST001888,AGT00280,2024-08-01,8231,Cash,Success,RCPT139102,False,True,2,False,None
PAY000140,POL000982,CUST002126,AGT00216,2022-10-06,9233,Card,Success,RCPT119006,False,True,2,False,None
PAY000141,POL000951,CUST002804,AGT00331,2023-04-05,36222,Cash,Success,RCPT895480,True,True,0,True,Fake Payment Receipt Submitted
PAY000142,POL000550,CUST002439,AGT00162,2024-01-03,52217,UPI,Success,RCPT515165,False,True,2,False,None
PAY000143,POL000117,CUST001554,AGT00038,2025-12-10,35923,Card,Success,RCPT306676,False,True,2,False,None
PAY000144,POL000750,CUST002732,AGT00072,2025-01-12,28890,Cheque,Success,RCPT117909,False,True,1,False,None
PAY000145,POL000364,CUST001154,AGT00088,2025-03-24,20466,Card,Success,RCPT134184,False,True,1,False,None
PAY000146,POL000914,CUST002346,AGT00077,2022-08-16,34564,NEFT,Success,RCPT554039,False,True,1,False,None
PAY000147,POL000204,CUST000660,AGT00171,2023-02-28,7362,UPI,Success,RCPT423359,False,True,2,False,None
PAY000148,POL000351,CUST002548,AGT00077,2022-04-06,5138,Card,Success,RCPT298402,False,False,186,True,Premium Diversion by Agent
PAY000149,POL000319,CUST001760,AGT00378,2025-01-11,9171,UPI,Success,RCPT258713,False,True,0,False,None
PAY000150,POL000359,CUST002692,AGT00268,2023-05-12,81436,UPI,Success,RCPT430400,False,True,1,False,None
PAY000151,POL000517,CUST002746,AGT00073,2026-06-28,36343,UPI,Success,RCPT106826,False,True,1,False,None
PAY000152,POL000940,CUST002559,AGT00188,2023-08-12,24947,Cheque,Success,RCPT456460,False,True,2,False,None
PAY000153,POL000489,CUST002939,AGT00231,2022-12-29,96805,UPI,Success,RCPT925995,False,True,0,False,None
PAY000154,POL000669,CUST001402,AGT00281,2025-01-02,32076,Cheque,Success,RCPT152828,False,False,311,True,Premium Diversion by Agent
PAY000155,POL000107,CUST000017,AGT00044,2023-10-17,2788,NEFT,Success,RCPT727668,False,True,1,False,None
PAY000156,POL000740,CUST003116,AGT00230,2022-01-27,11049,Cheque,Success,RCPT213766,False,True,0,False,None
PAY000157,POL000654,CUST002039,AGT00252,2025-12-27,31651,NEFT,Success,RCPT630657,False,True,1,False,None
PAY000158,POL000826,CUST001105,AGT00246,2022-06-25,10963,NEFT,Success,RCPT665600,False,True,1,False,None
PAY000159,POL000172,CUST001510,AGT00057,2024-12-17,117244,Cash,Success,RCPT471871,False,True,2,False,None
PAY000160,POL000658,CUST000365,AGT00134,2024-05-29,42421,NEFT,Success,RCPT338995,False,True,1,False,None
PAY000161,POL000519,CUST000390,AGT00287,2023-09-26,11873,Cash,Success,RCPT236898,False,True,2,False,None
PAY000162,POL000855,CUST001954,AGT00244,2024-12-31,7681,Cheque,Success,RCPT754659,False,True,0,False,None
PAY000163,POL000865,CUST001099,AGT00338,2026-06-12,3258,Card,Success,RCPT513136,False,True,0,False,None
PAY000164,POL000958,CUST000381,AGT00102,2023-01-30,11672,NEFT,Success,RCPT213554,False,True,1,False,None
PAY000165,POL000813,CUST000869,AGT00198,2024-03-29,6607,Card,Success,RCPT125692,False,True,1,False,None
PAY000166,POL000528,CUST000148,AGT00043,2022-11-02,31709,Card,Success,RCPT855984,False,False,84,True,Premium Diversion by Agent
PAY000167,POL000320,CUST001864,AGT00010,2025-04-02,14879,UPI,Success,RCPT583007,False,True,2,False,None
PAY000168,POL000037,CUST003016,AGT00122,2026-01-25,4139,NEFT,Success,RCPT706741,False,True,0,False,None
PAY000169,POL000499,CUST000825,AGT00038,2025-01-16,4841,UPI,Success,RCPT633697,False,True,0,False,None
PAY000170,POL000665,CUST000382,AGT00284,2024-03-11,20107,Cheque,Success,RCPT836425,False,True,1,False,None
PAY000171,POL000265,CUST001474,AGT00278,2023-11-19,18437,Cheque,Success,RCPT639083,False,True,1,False,None
PAY000172,POL000695,CUST002531,AGT00336,2025-10-29,5524,Cash,Success,RCPT438860,False,True,2,False,None
PAY000173,POL000668,CUST000306,AGT00125,2026-05-18,29780,UPI,Success,RCPT290644,True,True,1,True,Fake Payment Receipt Submitted
PAY000174,POL000649,CUST000310,AGT00182,2026-05-10,10385,Cheque,Success,RCPT777095,False,True,2,False,None
PAY000175,POL000908,CUST001050,AGT00033,2025-02-25,31877,Cheque,Success,RCPT577115,False,True,0,False,None
PAY000176,POL000402,CUST002400,AGT00093,2025-07-10,17420,UPI,Success,RCPT485555,False,True,0,False,None
PAY000177,POL000987,CUST001947,AGT00105,2024-12-21,47600,Cheque,Success,RCPT668324,False,True,1,False,None
PAY000178,POL000602,CUST001461,AGT00007,2025-02-09,9339,Card,Success,RCPT623809,True,True,2,True,Fake Payment Receipt Submitted
PAY000179,POL000952,CUST001239,AGT00331,2024-08-12,19131,Card,Success,RCPT153387,False,False,259,True,Premium Diversion by Agent
PAY000180,POL000218,CUST002472,AGT00338,2023-07-05,20655,Cash,Success,RCPT570043,True,True,1,True,Fake Payment Receipt Submitted
PAY000181,POL000330,CUST001427,AGT00358,2026-07-07,66660,Card,Success,RCPT990977,False,True,2,False,None
PAY000182,POL000186,CUST001535,AGT00328,2024-10-21,18768,Card,Success,RCPT571301,False,True,1,False,None
PAY000183,POL000381,CUST002560,AGT00197,2025-04-03,43684,UPI,Success,RCPT636309,False,True,2,False,None
PAY000184,POL000209,CUST001130,AGT00262,2023-07-15,5869,Cheque,Success,RCPT693938,False,True,2,False,None
PAY000185,POL000563,CUST000754,AGT00153,2023-03-13,15347,Card,Success,RCPT692408,False,True,1,False,None
PAY000186,POL000288,CUST000891,AGT00209,2024-04-17,22543,UPI,Success,RCPT634028,False,True,2,False,None
PAY000187,POL000088,CUST001213,AGT00138,2023-02-20,27922,UPI,Success,RCPT855152,False,False,175,True,Premium Diversion by Agent
PAY000188,POL000944,CUST001996,AGT00293,2024-01-30,5554,UPI,Success,RCPT810914,False,True,0,False,None
PAY000189,POL000136,CUST000605,AGT00129,2024-07-27,27766,NEFT,Success,RCPT851639,False,True,0,False,None
PAY000190,POL000158,CUST003105,AGT00136,2022-11-20,17873,UPI,Success,RCPT244391,False,False,45,True,Premium Diversion by Agent
PAY000191,POL000794,CUST001156,AGT00206,2025-05-08,18614,Card,Success,RCPT615951,False,True,1,False,None
PAY000192,POL000920,CUST002097,AGT00023,2025-08-02,5729,UPI,Success,RCPT329603,False,True,0,False,None
PAY000193,POL000155,CUST002904,AGT00187,2023-12-09,18443,Card,Success,RCPT448535,False,False,53,True,Premium Diversion by Agent
PAY000194,POL000463,CUST001166,AGT00168,2024-01-28,12474,Cheque,Success,RCPT498458,False,True,0,False,None
PAY000195,POL000220,CUST001152,AGT00007,2022-04-13,31962,Cheque,Success,RCPT670457,True,True,0,True,Fake Payment Receipt Submitted
PAY000196,POL000459,CUST000241,AGT00044,2022-08-27,19846,Cheque,Success,RCPT886220,False,True,1,False,None
PAY000197,POL000167,CUST002858,AGT00123,2022-05-11,4828,Cash,Success,RCPT844903,False,True,0,False,None
PAY000198,POL000322,CUST000677,AGT00340,2024-12-30,25918,Cheque,Success,RCPT687999,False,True,2,False,None
PAY000199,POL000691,CUST000869,AGT00133,2022-05-05,3679,Cash,Success,RCPT677792,False,True,2,False,None
PAY000200,POL000841,CUST003150,AGT00024,2024-07-11,6985,UPI,Success,RCPT514528,False,True,1,False,None
PAY000201,POL000562,CUST002973,AGT00273,2023-05-22,52404,NEFT,Success,RCPT441774,False,True,1,False,None
PAY000202,POL000813,CUST000869,AGT00198,2024-04-12,6887,Card,Success,RCPT214481,False,True,1,False,None
PAY000203,POL000512,CUST002293,AGT00195,2024-08-28,9851,UPI,Success,RCPT467763,False,True,0,False,None
PAY000204,POL000087,CUST001586,AGT00355,2026-02-06,13725,Cheque,Success,RCPT214050,False,True,1,False,None
PAY000205,POL000545,CUST000546,AGT00095,2024-12-21,22041,NEFT,Success,RCPT637276,False,True,0,False,None
PAY000206,POL000275,CUST002743,AGT00206,2022-02-22,117012,Card,Success,RCPT440878,False,True,1,False,None
PAY000207,POL000141,CUST000172,AGT00132,2025-08-02,101003,Cash,Success,RCPT821594,False,True,2,False,None
PAY000208,POL000718,CUST001745,AGT00298,2022-02-06,13163,Cash,Bounced,RCPT821333,False,True,2,True,Bounced Cheque Used for Coverage
PAY000209,POL000736,CUST000951,AGT00151,2025-09-23,33271,Cheque,Success,RCPT318811,False,True,0,False,None
PAY000210,POL000625,CUST001764,AGT00041,2023-12-16,20071,Cash,Success,RCPT902427,False,True,1,False,None
PAY000211,POL000790,CUST001791,AGT00187,2023-10-08,20914,Cheque,Success,RCPT990916,False,True,2,False,None
PAY000212,POL000916,CUST002202,AGT00135,2025-07-01,7224,Cash,Success,RCPT240948,False,True,0,False,None
PAY000213,POL000353,CUST001536,AGT00062,2024-07-10,90330,Cheque,Success,RCPT380681,False,True,2,False,None
PAY000214,POL000005,CUST000318,AGT00171,2023-10-04,30340,Cheque,Success,RCPT876086,False,True,1,False,None
PAY000215,POL000382,CUST002220,AGT00062,2026-02-07,58605,NEFT,Success,RCPT941592,False,True,0,False,None
PAY000216,POL000724,CUST002976,AGT00280,2025-08-28,26790,Cheque,Success,RCPT712583,False,True,2,False,None
PAY000217,POL000768,CUST001318,AGT00016,2022-08-02,43161,Cheque,Success,RCPT586242,False,True,1,False,None
PAY000218,POL000334,CUST000843,AGT00362,2025-08-22,58266,UPI,Success,RCPT226097,False,True,0,False,None
PAY000219,POL000475,CUST003191,AGT00258,2023-06-09,4713,UPI,Success,RCPT842416,False,True,2,False,None
PAY000220,POL000986,CUST002840,AGT00211,2025-01-17,8747,Card,Success,RCPT498494,False,True,2,False,None
PAY000221,POL000928,CUST002321,AGT00204,2023-11-16,47633,UPI,Success,RCPT789087,False,True,0,False,None
PAY000222,POL000030,CUST000933,AGT00245,2023-01-04,23733,Cheque,Success,RCPT110031,False,True,1,False,None
PAY000223,POL000347,CUST002226,AGT00369,2025-05-17,21439,Cheque,Bounced,RCPT162745,False,True,0,True,Bounced Cheque Used for Coverage
PAY000224,POL000922,CUST000046,AGT00044,2025-05-06,10637,Cheque,Success,RCPT976821,False,True,2,False,None
PAY000225,POL000594,CUST001654,AGT00350,2024-02-20,50502,UPI,Success,RCPT972572,False,True,2,False,None
PAY000226,POL000493,CUST000965,AGT00212,2022-04-23,6105,Card,Success,RCPT873804,False,True,2,False,None
PAY000227,POL000983,CUST002241,AGT00257,2023-10-13,39232,UPI,Success,RCPT992323,False,True,1,False,None
PAY000228,POL000748,CUST002170,AGT00231,2025-08-18,21680,Cheque,Success,RCPT453599,True,True,2,True,Fake Payment Receipt Submitted
PAY000229,POL000495,CUST001977,AGT00278,2026-06-02,53580,UPI,Success,RCPT579906,False,True,2,False,None
PAY000230,POL000856,CUST000018,AGT00085,2025-06-10,32312,Cheque,Success,RCPT698730,False,True,0,False,None
PAY000231,POL000388,CUST001213,AGT00164,2023-11-25,130695,Card,Success,RCPT310906,False,True,2,False,None
PAY000232,POL000873,CUST001333,AGT00162,2026-07-06,3142,Card,Success,RCPT994433,False,True,0,False,None
PAY000233,POL000835,CUST000233,AGT00376,2024-09-10,13277,UPI,Success,RCPT873969,False,True,2,False,None
